                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     36,                 1.0996,                0.55523,                0.81718,                0.80586,                0.71548,                0.74383,                 0.4546,                 1.0347,                0.53597,                0.82359,             0.00038375,             0.00038375,             0.00038375
                     37,                 1.0889,                 0.5584,                0.82113,                0.79832,                0.69381,                0.74513,                0.46282,                 1.0333,                0.53775,                  0.823,               0.000359,               0.000359,               0.000359
                     38,                 1.0755,                0.54997,                0.82057,                0.87283,                 0.6586,                0.72703,                0.44993,                 1.0621,                0.54271,                0.82452,             0.00033425,             0.00033425,             0.00033425
                     39,                 1.0642,                0.54196,                0.82061,                0.83173,                0.73509,                0.75415,                0.46581,                  1.031,                0.51988,                  0.823,              0.0003095,              0.0003095,              0.0003095
                     40,                 1.0465,                0.53627,                0.81653,                0.81589,                0.71732,                0.75006,                0.45639,                 1.0309,                0.53773,                0.82211,             0.00028475,             0.00028475,             0.00028475
                     41,                0.99577,                0.52113,                0.82225,                0.84694,                 0.6427,                 0.7191,                0.43388,                 1.0424,                0.55671,                0.82605,                0.00026,                0.00026,                0.00026
                     42,                0.98523,                0.51425,                0.81805,                0.86983,                0.60292,                0.69964,                0.43046,                 1.0517,                0.56188,                0.82508,             0.00023525,             0.00023525,             0.00023525
                     43,                0.97818,                0.50654,                0.82237,                0.80614,                0.71057,                0.73922,                0.45364,                  1.028,                0.52382,                0.82326,              0.0002105,              0.0002105,              0.0002105
                     44,                0.96844,                0.49651,                0.81758,                0.86256,                 0.7156,                0.76474,                0.47237,                 1.0166,                0.51542,                 0.8215,             0.00018575,             0.00018575,             0.00018575
                     45,                0.95869,                0.50155,                0.81896,                0.85165,                0.69773,                0.74548,                0.46169,                 1.0182,                0.51474,                0.82139,               0.000161,               0.000161,               0.000161
                     46,                0.95224,                0.48638,                 0.8174,                0.80015,                0.70033,                0.73524,                0.45714,                  1.027,                0.52816,                0.82394,             0.00013625,             0.00013625,             0.00013625
                     47,                0.94412,                0.48513,                0.81944,                0.83402,                0.72437,                0.76652,                0.47759,                  1.013,                0.50899,                0.81988,              0.0001115,              0.0001115,              0.0001115
                     48,                0.95728,                0.48993,                0.81489,                0.84876,                0.71365,                0.75839,                0.46991,                 1.0143,                0.50819,                0.82023,              8.675e-05,              8.675e-05,              8.675e-05
                     49,                0.94744,                0.48307,                0.81725,                0.86539,                0.71352,                0.75926,                0.47773,                 1.0126,                0.51109,                0.82024,                6.2e-05,                6.2e-05,                6.2e-05
                     50,                0.93143,                 0.4732,                0.81444,                0.83715,                0.70294,                0.75462,                0.47376,                 1.0103,                0.50426,                 0.8201,              3.725e-05,              3.725e-05,              3.725e-05
