                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.7601,                 2.3526,                0.93593,                0.03566,                0.25046,                0.20279,                0.09795,                 1.5683,                 2.7675,                0.87831,             0.00040799,             0.00040799,             0.00040799
                      2,                 1.5047,                 1.1829,                0.87834,                0.85396,                0.21677,                0.23658,                0.13464,                 1.3564,                  1.628,                0.86222,             0.00078383,             0.00078383,             0.00078383
                      3,                 1.5002,                 1.1136,                0.87627,                0.82241,                  0.256,                0.29146,                0.16133,                 1.3994,                 1.2157,                0.86232,              0.0011184,              0.0011184,              0.0011184
                      4,                 1.4785,                 1.0231,                0.86899,                0.64515,                0.32937,                0.36659,                0.20939,                 1.3651,                0.99864,                0.86099,              0.0010644,              0.0010644,              0.0010644
                      5,                 1.4313,                0.96425,                0.87139,                0.76001,                0.39911,                0.46343,                 0.2689,                 1.2593,                0.91293,                0.85326,              0.0010025,              0.0010025,              0.0010025
                      6,                 1.3716,                0.93973,                0.86714,                0.76382,                 0.4903,                0.56634,                0.31888,                 1.2421,                0.84394,                   0.85,             0.00094062,             0.00094062,             0.00094062
                      7,                 1.3642,                0.85378,                0.86111,                0.81079,                0.53132,                0.60686,                0.34616,                 1.2488,                0.81194,                0.85089,             0.00087875,             0.00087875,             0.00087875
                      8,                 1.2905,                 0.8258,                 0.8472,                0.80003,                0.52634,                0.60762,                0.34336,                 1.2058,                0.76193,                 0.8456,             0.00081688,             0.00081688,             0.00081688
                      9,                 1.3032,                0.78854,                0.84546,                0.86027,                 0.5412,                0.61187,                0.33252,                 1.3167,                0.75427,                0.85268,               0.000755,               0.000755,               0.000755
                     10,                 1.2397,                 0.7419,                0.84165,                0.81083,                0.54784,                0.64883,                0.37573,                 1.1606,                0.70079,                0.83939,             0.00069313,             0.00069313,             0.00069313
                     11,                 1.1547,                0.71579,                0.84362,                0.82648,                0.54577,                0.61779,                0.36748,                 1.1855,                0.73131,                0.84431,             0.00063125,             0.00063125,             0.00063125
                     12,                 1.1351,                0.68124,                0.84535,                0.85615,                0.56608,                0.66663,                0.38355,                 1.1863,                0.71615,                0.85116,             0.00056938,             0.00056938,             0.00056938
                     13,                 1.1134,                 0.6617,                 0.8423,                0.81697,                0.66676,                0.69997,                0.40379,                 1.1308,                0.66471,                0.83489,              0.0005075,              0.0005075,              0.0005075
                     14,                  1.119,                0.65282,                0.83507,                0.81534,                0.59928,                0.66218,                0.38143,                 1.1766,                 0.6724,                0.83773,             0.00044563,             0.00044563,             0.00044563
                     15,                 1.1082,                0.63116,                0.83464,                0.86211,                0.65653,                0.69288,                0.40562,                 1.1217,                0.62689,                0.83489,             0.00038375,             0.00038375,             0.00038375
                     16,                 1.0647,                0.60518,                0.83123,                0.83474,                0.68402,                0.70459,                0.40573,                 1.1296,                0.61728,                0.83263,             0.00032188,             0.00032188,             0.00032188
                     17,                 1.0851,                0.60957,                0.83048,                0.81124,                0.67358,                0.71367,                0.42365,                 1.0831,                0.60939,                0.83002,                0.00026,                0.00026,                0.00026
                     18,                 1.0556,                0.59489,                0.83062,                0.83616,                0.66418,                0.71572,                0.42741,                 1.0896,                0.60344,                0.82898,             0.00019813,             0.00019813,             0.00019813
                     19,                 1.0346,                0.57578,                0.82641,                0.84777,                0.67492,                0.72932,                0.43952,                 1.0848,                0.59385,                0.82957,             0.00013625,             0.00013625,             0.00013625
                     20,                 1.0247,                0.57309,                0.82968,                0.88607,                0.66468,                0.73486,                0.44062,                 1.0778,                 0.5848,                0.82871,             7.4375e-05,             7.4375e-05,             7.4375e-05
