                  epoch,         train/box_loss,        train/pose_loss,        train/kobj_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(P),      metrics/recall(P),       metrics/mAP50(P),    metrics/mAP50-95(P),           val/box_loss,          val/pose_loss,          val/kobj_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     23,                 0.4219,                 6.9222,                0.35141,                  0.328,                0.95899,                0.99633,                      1,                  0.995,                0.93133,                0.39917,                    0.4,                0.19461,                 0.0359,                0.49339,                 6.0752,                0.41281,                0.37866,                0.84503,              0.0015644,              0.0015644,              0.0015644
                     24,                0.38033,                 5.9889,                 0.3419,                0.32064,                0.94494,                0.99419,                      1,                  0.995,                  0.952,                0.14489,                    0.2,                0.05876,                0.01511,                0.39075,                 6.0464,                0.40329,                0.32296,                0.70587,              0.0015446,              0.0015446,              0.0015446
                     25,                0.38723,                 6.0846,                0.32744,                0.31571,                0.96224,                0.99804,                      1,                  0.995,                0.91387,                0.36277,                    0.4,                0.21604,                0.04307,                 0.4614,                 5.7718,                0.40265,                0.33058,                0.77995,              0.0015248,              0.0015248,              0.0015248
                     26,                 0.3759,                 6.2534,                0.33995,                 0.3074,                0.95319,                  0.998,                      1,                  0.995,                0.93288,                0.46573,                0.46667,                0.25963,                0.05952,                0.45929,                 4.6131,                0.37385,                0.35711,                0.79444,               0.001505,               0.001505,               0.001505
                     27,                0.37255,                  5.982,                 0.3247,                0.30142,                0.96402,                0.99738,                      1,                  0.995,                0.93887,                0.19947,                    0.2,                0.08477,                0.02007,                0.39314,                  5.858,                0.38902,                0.33691,                 0.7203,              0.0014852,              0.0014852,              0.0014852
                     28,                0.36551,                 5.8797,                0.33154,                0.29303,                0.95648,                 0.9971,                      1,                  0.995,                 0.9744,                0.39917,                    0.4,                0.31571,                0.04811,                0.34368,                 5.0214,                0.37091,                0.34458,                 0.6776,              0.0014654,              0.0014654,              0.0014654
                     29,                0.35259,                 6.0842,                0.34109,                0.29625,                 0.9492,                0.99789,                      1,                  0.995,                0.96773,                0.53221,                0.53333,                0.35373,                0.07247,                0.31998,                 5.1047,                0.39261,                0.30281,                0.66912,              0.0014456,              0.0014456,              0.0014456
                     30,                0.34095,                  5.434,                0.33625,                0.28095,                0.94407,                0.99786,                      1,                  0.995,                0.97435,                0.43234,                0.43333,                0.26763,                0.07027,                0.36664,                 5.0192,                 0.4398,                0.30961,                0.69217,              0.0014258,              0.0014258,              0.0014258
                     31,                0.35926,                 5.6435,                 0.3286,                0.28318,                0.95032,                0.99742,                      1,                  0.995,                0.96484,                0.19963,                    0.2,                0.06221,                0.01657,                0.37305,                 6.5157,                0.45623,                0.29488,                0.72463,               0.001406,               0.001406,               0.001406
                     32,                0.35504,                 5.7539,                0.32825,                0.28716,                0.94339,                0.99616,                      1,                  0.995,                0.94143,                 0.5644,                0.56667,                0.36839,                0.09388,                0.39496,                 4.4713,                0.36312,                 0.2897,                0.77488,              0.0013862,              0.0013862,              0.0013862
